Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	Q8 Answer,	
2019-04-09 20:14:19 Etc/GMT,	Kia Mirsalehi,	Vote of No Confidence,	Mitchell Gale,	Truman Bui,	Vote of No Confidence,	Vote Of No Confidence,	Ryan Vansickle,	Vote of No Confidence,	
2019-04-09 21:04:04 Etc/GMT,	John Sweeney,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-09 23:31:50 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	
2019-04-10 00:12:00 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-10 00:26:46 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Vote of No Confidence,	Gareth Moon,	Ryan Vansickle,	Vote of No Confidence,	
2019-04-10 03:36:35 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	John Sweeney,	
2019-04-10 19:04:32 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	John Sweeney,	
2019-04-10 20:38:27 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-10 20:56:03 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-10 21:16:49 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Michelle Soo,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
